record,lat,long,site,cbwf_pres,period,record.year,lyn site number
116,-29.02934,134.7173623,CP1,1,1960,1973,18
117,-30.956928,134.623783,TAR22,1,1960,1978,22
118,-29.147734,134.354344,MC1,1,1960,1984,28
119,-30.962752,135.725066,CO1,1,1960,1989,33
120,-27.40609,135.30053,TO1,1,1960,1914,2
121,-27.28819,134.994516,TO2,1,1960,1914,3
122,-27.216871,134.775636,TO3,1,1960,1914,4
123,-26.971665,134.293191,LA1,1,1960,1914,5
124,-27.03118,133.524776,APY1,1,1960,1914,6
125,-27.05608,133.4517972,APY2,1,1960,1914,7
126,-28.7256,136.016582,AC1,1,1960,1966,10
127,-28.91736,136.344653,WC1,1,1960,1966,11
128,-27.338662,133.943086,WH1,1,1960,1967,14
129,-26.9478,133.6103171,APY3,1,1960,1981,25
130,-26.94477,133.5558609,APY4,1,1960,1986,29
131,-25.920888,133.860569,KUL30,1,1960,1987,30
132,-30.37353024,138.1956832,MS16,1,1960,1968,16
133,-29.67554,138.02374,CA1,1,1960,1975,19
134,-26.919467,139.528324,BT20,1,1960,1975,20
135,-28.817199,138.539102,BT21,1,1960,1976,21
136,-29.948783,137.947214,WI1,1,1960,1979,23
137,-29.93726,137.9462464,WI2,1,1960,1979,24
138,-27.701445,138.407293,COW26,1,1960,1982,26
139,-29.6399,137.8787,CA2,1,1960,1983,27
140,-30.205699,138.610536,ML1,1,1960,1987,31
141,-30.587721,138.389509,LC1,1,1960,1987,32
